##############################################################################################################################################
-vCenter LOG-: 2013-10-21 14:17:58.207	Adding portGroup: pg76
-vCenter LOG-: 2013-10-21 14:17:58.79	Adding portGroup: pg77
-vCenter LOG-: 2013-10-21 14:18:01.006	Adding portGroup: pg78
-vCenter LOG-: 2013-10-21 14:18:13.908	Adding portGroup: pg79
-vCenter LOG-: 2013-10-21 14:18:14.556	Adding portGroup: pg80
-vCenter LOG-: 2013-10-21 14:18:16.609	Adding vSwitch: vS8
-vCenter LOG-: 2013-10-21 14:18:16.609	Enabling CDP for: vS8
-vCenter LOG-: 2013-10-21 14:18:29.607	Adding portGroup: pg81
-vCenter LOG-: 2013-10-21 14:18:30.177	Adding portGroup: pg82
-vCenter LOG-: 2013-10-21 14:18:32.406	Adding portGroup: pg83
-vCenter LOG-: 2013-10-21 14:18:45.339	Adding portGroup: pg84
-vCenter LOG-: 2013-10-21 14:18:45.909	Adding portGroup: pg85
-vCenter LOG-: 2013-10-21 14:18:48.365	Adding portGroup: pg86
-vCenter LOG-: 2013-10-21 14:19:01.197	Adding portGroup: pg87
-vCenter LOG-: 2013-10-21 14:19:01.719	Adding portGroup: pg88
-vCenter LOG-: 2013-10-21 14:19:03.983	Adding portGroup: pg89
-vCenter LOG-: 2013-10-21 14:19:17.025	Adding portGroup: pg90
-vCenter LOG-: 2013-10-21 14:19:17.575	Adding vSwitch: vS9
-vCenter LOG-: 2013-10-21 14:19:17.575	Enabling CDP for: vS9
-vCenter LOG-: 2013-10-21 14:19:20.008	Adding portGroup: pg91
-vCenter LOG-: 2013-10-21 14:19:34.091	Adding portGroup: pg92
-vCenter LOG-: 2013-10-21 14:19:34.664	Adding portGroup: pg93
-vCenter LOG-: 2013-10-21 14:19:37.0	Adding portGroup: pg94
-vCenter LOG-: 2013-10-21 14:19:50.088	Adding portGroup: pg95
-vCenter LOG-: 2013-10-21 14:19:50.698	Adding portGroup: pg96
-vCenter LOG-: 2013-10-21 14:19:53.105	Adding portGroup: pg97
-vCenter LOG-: 2013-10-21 14:20:06.219	Adding portGroup: pg98
